GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Mediscreen-coverage/Mediscreen-patient,com.openclassrooms.mediscreenpatient.service.impl,PatientServiceImpl,0,72,0,2,0,13,0,7,0,6
Mediscreen-coverage/Mediscreen-patient,com.openclassrooms.mediscreenpatient.exception,ConflictException,3,4,0,0,2,2,1,1,1,1
Mediscreen-coverage/Mediscreen-patient,com.openclassrooms.mediscreenpatient.exception,NotFoundException,3,4,0,0,2,2,1,1,1,1
Mediscreen-coverage/Mediscreen-patient,com.openclassrooms.mediscreenpatient.exception,PatientAlreadyExistException,0,6,0,0,0,2,0,1,0,1
Mediscreen-coverage/Mediscreen-patient,com.openclassrooms.mediscreenpatient.exception,PatientNotFoundException,0,5,0,0,0,2,0,1,0,1
Mediscreen-coverage/Mediscreen-patient,com.openclassrooms.mediscreenpatient,MediscreenPatientApplication,5,3,0,0,2,1,1,1,1,1
Mediscreen-coverage/Mediscreen-patient,com.openclassrooms.mediscreenpatient.controller,PatientController,0,39,0,0,0,8,0,5,0,5
Mediscreen-coverage/Mediscreen-clientUI,com.openclassrooms.mediscreenclientui,MediscreenClientUiApplication,5,3,0,0,2,1,1,1,1,1
Mediscreen-coverage/Mediscreen-clientUI,com.openclassrooms.mediscreenclientui.controller,ClientUIController,8,210,0,16,0,48,1,20,1,12
Mediscreen-coverage/Mediscreen-patientNote,com.openclassrooms.mediscreenpatientnote.controller,PatientNoteController,0,32,0,0,0,6,0,4,0,4
Mediscreen-coverage/Mediscreen-patientNote,com.openclassrooms.mediscreenpatientnote,MediscreenPatientNoteApplication,5,3,0,0,2,1,1,1,1,1
Mediscreen-coverage/Mediscreen-patientNote,com.openclassrooms.mediscreenpatientnote.exception,NoteNotFoundException,0,5,0,0,0,2,0,1,0,1
Mediscreen-coverage/Mediscreen-patientNote,com.openclassrooms.mediscreenpatientnote.exception,NotFoundException,3,4,0,0,2,2,1,1,1,1
Mediscreen-coverage/Mediscreen-patientNote,com.openclassrooms.mediscreenpatientnote.service.impl,PatientNoteServiceImpl,0,46,0,0,0,8,0,5,0,5
Mediscreen-coverage/Mediscreen-analysis,com.openclassrooms.mediscreenanalysis.controller,AnalysisController,0,5,0,0,0,1,0,1,0,1
Mediscreen-coverage/Mediscreen-analysis,com.openclassrooms.mediscreenanalysis.service.impl,AnalysisServiceImpl,0,198,7,35,0,38,7,17,0,3
Mediscreen-coverage/Mediscreen-analysis,com.openclassrooms.mediscreenanalysis,MediscreenAnalysisApplication,5,3,0,0,2,1,1,1,1,1
Mediscreen-coverage/Mediscreen-analysis,com.openclassrooms.mediscreenanalysis.exception,NotFoundException,3,4,0,0,2,2,1,1,1,1
Mediscreen-coverage/Mediscreen-analysis,com.openclassrooms.mediscreenanalysis.exception,PatientNotFoundException,0,5,0,0,0,2,0,1,0,1
